Gene	start	end	description	database_name	transposons	transposons_normalized
YDL247W	6291	7656	Name=MFS general substrate transporter	SSF103473	785	0.575
YDL246C	8799	9324	Name=NAD(P)-binding Rossmann-fold domains	SSF51735	1274	2.427
YDL246C	9219	9735	Name=GroES-like	SSF50129	253	0.49
YDL245C	11797	13159	Name=MFS general substrate transporter	SSF103473	1212	0.89
YDL244W	16219	16921	Name=Periplasmic binding protein-like II	SSF53850	783	1.115
YDL243C	17684	18557	Name=NAD(P)-linked oxidoreductase	SSF51430	799	0.915
YDL240W	23003	23204	Name=Glucocorticoid receptor-like (DNA-binding domain)	SSF57716	75	0.373
YDL240W	23195	23378	Name=Glucocorticoid receptor-like (DNA-binding domain)	SSF57716	33	0.18
YDL240W	24992	25673	Name=GTPase activation domain, GAP	SSF48350	114	0.167
YDL238C	29239	30172	Name=Metallo-dependent hydrolases	SSF51556	513	0.55
YDL237W	31008	31812	Name=PLC-like phosphodiesterases	SSF51695	458	0.57
YDL236W	32365	33208	Name=HAD-like	SSF56784	387	0.459
YDL235C	33423	33909	Name=Histidine-containing phosphotransfer domain, HPT domain	SSF47226	26	0.053
YDL234C	34404	34773	Name=Ypt/Rab-GAP domain of gyp1p	SSF47923	240	0.65
YDL234C	34698	35385	Name=Ypt/Rab-GAP domain of gyp1p	SSF47923	218	0.317
YDL232W	38490	38592	Name=Oligosaccharyltransferase subunit ost4p	SSF103464	3	0.029
YDL230W	42811	43684	Name=(Phosphotyrosine protein) phosphatases II	SSF52799	882	1.01
YDL229W	44092	44629	Name=Actin-like ATPase domain	SSF53067	218	0.406
YDL229W	44644	45220	Name=Actin-like ATPase domain	SSF53067	202	0.351
YDL229W	45238	45706	Name=Heat shock protein 70kD (HSP70), peptide-binding domain	SSF100920	114	0.244
YDL229W	45688	45859	Name=Heat shock protein 70kD (HSP70), C-terminal subdomain	SSF100934	118	0.69
YDL227C	46642	48019	Name=Hedgehog/intein (Hint) domain	SSF51294	1498	1.088
YDL227C	46768	47113	Name=Homing endonucleases	SSF55608	1430	4.145
YDL227C	47122	47473	Name=Homing endonucleases	SSF55608	1039	2.96
YDL226C	51831	52143	Name=ArfGap/RecO-like zinc finger	SSF57863	261	0.837
YDL225W	52499	53183	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	155	0.227
YDL224C	54414	54795	Name=RNA-binding domain, RBD	SSF54928	494	1.297
YDL220C	62960	63518	Name=Nucleic acid-binding proteins	SSF50249	4	0.007
YDL219W	65245	65686	Name=DTD-like	SSF69500	43	0.098
YDL216C	69722	70109	Name=JAB1/MPN domain	SSF102712	107	0.276
YDL215C	70849	71764	Name=NAD(P)-binding Rossmann-fold domains	SSF51735	357	0.39
YDL215C	71734	72340	Name=Aminoacid dehydrogenase-like, N-terminal domain	SSF53223	240	0.396
YDL214C	74568	75465	Name=Protein kinase-like (PK-like)	SSF56112	202	0.225
YDL213C	77492	77759	Name=RNA-binding domain, RBD	SSF54928	212	0.794
YDL209C	86530	86857	Name=RNA-binding domain, RBD	SSF54928	3	0.009
YDL208W	87578	87941	Name=L30e-like	SSF55315	19	0.052
YDL205C	92776	93055	Name=Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain	SSF54782	2	0.007
YDL205C	93064	93730	Name=Periplasmic binding protein-like II	SSF53850	31	0.047
YDL203C	96114	96786	Name=HCP-like	SSF81901	277	0.412
YDL203C	96831	97038	Name=HCP-like	SSF81901	136	0.657
YDL202W	98619	99165	Name=Ribosomal protein L10-like	SSF160369	14	0.026
YDL201W	99843	100302	Name=S-adenosyl-L-methionine-dependent methyltransferases	SSF53335	182	0.397
YDL200C	100530	100773	Name=Methylated DNA-protein cysteine methyltransferase, C-terminal domain	SSF46767	174	0.716
YDL199C	101664	103020	Name=MFS general substrate transporter	SSF103473	318	0.235
YDL198C	103693	104530	Name=Mitochondrial carrier	SSF103506	23	0.027
YDL195W	107247	108189	Name=WD40 repeat-like	SSF50978	20	0.021
YDL194W	111889	113242	Name=MFS general substrate transporter	SSF103473	289	0.214
YDL193W	115113	115779	Name=Undecaprenyl diphosphate synthase	SSF64005	4	0.006
YDL192W	116363	116858	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	64	0.129
YDL191W	117676	117856	Name=Ribosomal protein L29 (L29p)	SSF46561	9	0.05
YDL190C	118736	118982	Name=RING/U-box	SSF57850	1	0.004
YDL189W	122228	122540	Name=R3H domain	SSF82708	143	0.458
YDL188C	123909	124794	Name=Metallo-dependent phosphatases	SSF56300	482	0.545
YDL185W	126853	127066	Name=N-terminal domain of alpha and beta subunits of F1 ATP synthase	SSF50615	2	0.009
YDL185W	127384	127660	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	1	0.004
YDL185W	127633	128995	Name=Hedgehog/intein (Hint) domain	SSF51294	14	0.01
YDL185W	128179	128530	Name=Homing endonucleases	SSF55608	4	0.011
YDL185W	128536	128863	Name=Homing endonucleases	SSF55608	1	0.003
YDL185W	128986	129550	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	22	0.039
YDL185W	129580	129838	Name=C-terminal domain of alpha and beta subunits of F1 ATP synthase	SSF47917	0	0
YDL182W	133500	134331	Name=Aldolase	SSF51569	705	0.848
YDL181W	135293	135422	Name=F1 ATPase inhibitor, IF1, C-terminal domain	SSF64602	39	0.302
YDL179W	138447	138726	Name=Cyclin-like	SSF47954	48	0.172
YDL178W	139717	140356	Name=FAD-binding/transporter-associated domain-like	SSF56176	287	0.449
YDL178W	140275	141109	Name=FAD-linked oxidases, C-terminal domain	SSF55103	362	0.434
YDL177C	141217	141694	Name=Ribosomal protein S5 domain 2-like	SSF54211	533	1.117
YDL175C	144972	145041	Name=Retrovirus zinc finger-like domains	SSF57756	13	0.188
YDL175C	145104	145224	Name=Retrovirus zinc finger-like domains	SSF57756	35	0.292
YDL175C	145284	145350	Name=Retrovirus zinc finger-like domains	SSF57756	14	0.212
YDL174C	145852	146596	Name=FAD-linked oxidases, C-terminal domain	SSF55103	528	0.71
YDL174C	146605	147274	Name=FAD-binding/transporter-associated domain-like	SSF56176	419	0.626
