Gene	start	end	description	database_name
YHL050C	1220	2660	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YHL050C	2651	3302	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YHL049C	3740	3887	Name=-	PTHR31583
YHL049C	3935	4538	Name=-	PTHR31583
YHL047C	8392	10192	Name=GLUTATHIONE EXCHANGER 1-RELATED	PTHR23501:SF92
YHL046C	11931	12282	Name=SERIPAUPERIN	PTHR31002
YHL040C	19132	20968	Name=GLUTATHIONE EXCHANGER 1-RELATED	PTHR23501:SF92
YHL039W	21801	23460	Name=PROTEIN-LYSINE N-METHYLTRANSFERASE EFM1	PTHR13271:SF90
YHL036W	26334	27861	Name=AMINO ACID TRANSPORTER	PTHR11785
YHL035C	28034	32378	Name=ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE VMR1-RELATED	PTHR24223:SF353
YHL034C	33198	34074	Name=NUCLEOLIN	PTHR23003:SF34
YHL033C	35287	35974	Name=BNAA03G47020D PROTEIN	PTHR23105:SF168
YHL032C	36429	38367	Name=SUGAR KINASE	PTHR10196
YHL031C	38817	39474	Name=GOLGI SNAP RECEPTOR COMPLEX MEMBER 1	PTHR21094:SF0
YHL030W	40117	45568	Name=PROTEASOME ADAPTER AND SCAFFOLD PROTEIN ECM29	PTHR23346:SF19
YHL028W	48766	49504	Name=CELL WALL INTEGRITY AND STRESS RESPONSE COMPONENT 2-RELATED	PTHR15549:SF6
YHL028W	49657	50560	Name=CELL WALL INTEGRITY AND STRESS RESPONSE COMPONENT 2-RELATED	PTHR15549:SF6
YHL027W	51291	52983	Name=PH-RESPONSE TRANSCRIPTION FACTOR PACC/RIM101	PTHR47257
YHL026C	53221	54136	Name=Protein of unknown function DUF2456	PTHR28297
YHL024W	56913	57144	Name=U1 SMALL NUCLEAR RIBONUCLEOPROTEIN 70 KD	PTHR13952
YHL024W	57198	58467	Name=U1 SMALL NUCLEAR RIBONUCLEOPROTEIN 70 KD	PTHR13952
YHL023C	59125	62539	Name=CGTHBA PROTEIN  -14 GENE PROTEIN	PTHR13153
YHL022C	62981	64031	Name=MEIOTIC RECOMBINATION PROTEIN SPO11	PTHR10848
