Gene	start	end	description	database_name
YJL225C	856	4525	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YJL223C	8781	9135	Name=SERIPAUPERIN	PTHR31002
YJL222W	11478	13551	Name=SORTILIN RELATED	PTHR12106
YJL222W	13674	16092	Name=SORTILIN RELATED	PTHR12106
YJL221C	16772	18533	Name=ALPHA-AMYLASE FAMILY MEMBER	PTHR10357
YJL219W	19593	21189	Name=GALACTOSE TRANSPORTER-RELATED	PTHR48022:SF75
YJL218W	21982	22546	Name=GALACTOSIDE O-ACETYLTRANSFERASE	PTHR43017
YJL217W	23136	23694	Name=REGULATION OF ENOLASE PROTEIN 1	PTHR35332
YJL216C	24346	26083	Name=ALPHA-AMYLASE FAMILY MEMBER	PTHR10357
YJL214W	26995	28588	Name=GALACTOSE TRANSPORTER-RELATED	PTHR48022:SF75
YJL213W	32181	33156	Name=ALPHA-D-RIBOSE 1-METHYLPHOSPHONATE 5-TRIPHOSPHATE DIPHOSPHATASE	PTHR43135
YJL212C	33909	36153	Name=ISP4 LIKE PROTEIN	PTHR22601
YJL210W	36925	37699	Name=PEROXISOME ASSEMBLY PROTEIN 10	PTHR23350
YJL208C	40268	41093	Name=ENDONUCLEASE G, MITOCHONDRIAL	PTHR13966:SF5
YJL207C	41394	47403	Name=HYPOTHETICAL HEAT DOMAIN-CONTAINING	PTHR21663
YJL206C	47700	49932	Name=ACTIVATOR OF STRESS GENES 1-RELATED	PTHR47540:SF1
YJL205C	50287	50440	Name=NON-CLASSICAL EXPORT PROTEIN 1	PTHR28011
YJL204C	50631	53127	Name=RECYCLIN-1	PTHR12100:SF1
YJL203W	53350	54109	Name=SPLICEOSOME ASSOCIATED PROTEIN 114/SWAP SPLICING FACTOR-RELATED	PTHR15316
YJL201W	54397	56089	Name=RHO GTPASE-ACTIVATING PROTEIN 68F	PTHR45808
YJL200C	56452	58801	Name=ACONITATE HYDRATASE B	PTHR43160
YJL198W	61714	63475	Name=INORGANIC PHOSPHATE TRANSPORTER PHO87-RELATED	PTHR10283:SF110
YJL197W	64741	67138	Name=UBIQUITIN CARBOXYL-TERMINAL HYDROLASE	PTHR21646
YJL196C	67873	68719	Name=ELONGATION OF FATTY ACIDS PROTEIN 1-RELATED	PTHR11157:SF152
YJL194W	69407	70799	Name=CELL DIVISION CONTROL PROTEIN 6 HOMOLOG	PTHR10763:SF26
YJL193W	71384	72527	Name=SOLUTE CARRIER FAMILY 35	PTHR11132
YJL191W	73814	74201	Name=40S RIBOSOMAL PROTEIN S14/30S RIBOSOMAL PROTEIN S11	PTHR11759
YJL190C	74912	75299	Name=40S RIBOSOMAL PROTEIN S15A	PTHR11758
YJL189W	75936	76080	Name=-	PTHR19970:SF31
YJL187C	76826	78362	Name=EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE  EIF2-ALPHA KINASE -RELATED	PTHR11042
YJL186W	80158	81910	Name=ALPHA-1,2-MANNOSYLTRANSFERASE MNN2	PTHR31646
YJL183W	84098	85328	Name=ALPHA-1,6-MANNOSYLTRANSFERASE MNN11-RELATED	PTHR31306
YJL180C	87594	88488	Name=ATP SYNTHASE MITOCHONDRIAL F1 COMPLEX ASSEMBLY FACTOR 2/ATP12 PROTEIN, MITOCHONDRIAL PRECURSOR	PTHR21013
YJL179W	88796	89111	Name=PREFOLDIN SUBUNIT 1	PTHR20903:SF0
YJL178C	89284	90094	Name=AUTOPHAGY-RELATED PROTEIN 27	PTHR15071:SF27
YJL177W	90795	91296	Name=60S RIBOSOMAL PROTEIN L17	PTHR11593
YJL176C	92268	93810	Name=BRAHMA ASSOCIATED PROTEIN 155 KDA	PTHR12802:SF41
YJL174W	95095	95917	Name=CELL WALL SYNTHESIS PROTEIN KNH1-RELATED	PTHR28154
YJL172W	97797	99462	Name=N-FATTY-ACYL-AMINO ACID SYNTHASE/HYDROLASE PM20D1	PTHR45962
YJL171C	99709	100891	Name=CELL WALL PROTEIN YJL171C	PTHR31737:SF3
YJL168C	102409	104422	Name=HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-36 SPECIFIC	PTHR22884:SF413
YJL167W	105041	106070	Name=FARNESYL PYROPHOSPHATE SYNTHASE	PTHR11525:SF0
YJL166W	106461	106701	Name=UBIQUINOL-CYTOCHROME C REDUCTASE COMPLEX UBIQUINONE-BINDING PROTEIN QP-C	PTHR12119
YJL165C	106920	108339	Name=SERINE/THREONINE KINASE	PTHR24343
YJL164C	109968	111156	Name=CAMP-DEPENDENT PROTEIN KINASE TYPE 1-RELATED	PTHR24353:SF73
YJL163C	111695	113081	Name=ZGC:174356	PTHR23507
YJL162C	114285	115605	Name=DNAJ HOMOLOG 1, MITOCHONDRIAL-RELATED	PTHR43096
YJL160C	117967	118516	Name=CELL WALL MANNOPROTEIN CIS3-RELATED	PTHR47254
YJL160C	118546	118822	Name=CELL WALL MANNOPROTEIN CIS3-RELATED	PTHR47254
YJL159W	120452	120875	Name=CELL WALL MANNOPROTEIN CIS3-RELATED	PTHR47254
YJL159W	120887	121685	Name=CELL WALL MANNOPROTEIN CIS3-RELATED	PTHR47254
YJL158C	122270	122945	Name=CELL WALL MANNOPROTEIN CIS3-RELATED	PTHR47254
YJL155C	129362	130616	Name=6-PHOSPHOFRUCTO-2-KINASE/FRUCTOSE-2,6-BISPHOSPHATASE	PTHR10606
YJL154C	131133	133920	Name=VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 35	PTHR11099:SF0
YJL153C	134340	135903	Name=INOSITOL-3-PHOSPHATE SYNTHASE 1	PTHR11510:SF5
YJL151C	136437	136722	Name=HYDROPHOBIC PROTEIN RCI2  LOW TEMPERATURE AND SALT RESPONSIVE PROTEIN LTI6 -RELATED	PTHR21659
YJL148W	140503	141127	Name=ACR243WP	PTHR28155
YJL146W	143295	144699	Name=GLYCOGENIN SUBFAMILY MEMBER	PTHR11183
YJL145W	145166	146039	Name=PHOSPHATIDYLINOSITOL TRANSFER PROTEIN SFH5	PTHR47669
YJL143W	147113	147536	Name=AT05822P-RELATED	PTHR10485:SF0
YJL141C	148143	150102	Name=DUAL SPECIFICITY PROTEIN KINASE	PTHR24058
YJL140W	150964	151621	Name=DNA-DIRECTED RNA POLYMERASE II	PTHR21297
YJL139C	151721	152987	Name=ALPHA-1,2 MANNOSYLTRANSFERASE KTR1	PTHR31121
YJL138C	153512	154658	Name=EUKARYOTIC INITIATION FACTOR 4A-II	PTHR24031:SF720
YJL137C	155167	156118	Name=GLYCOGENIN-2	PTHR11183:SF100
YJL136C	157033	157270	Name=40S RIBOSOMAL PROTEIN S21	PTHR10442
YJL134W	158299	159409	Name=DIHYDROSPHINGOSINE 1-PHOSPHATE PHOSPHATASE LCB3-RELATED	PTHR14969:SF28
YJL133W	160682	161555	Name=MITOFERRIN-1	PTHR45758:SF4
YJL132W	162043	162718	Name=GLYCOSYLPHOSPHATIDYLINOSITOL PHOSPHOLIPASE D	PTHR23221
YJL132W	162925	163756	Name=GLYCOSYLPHOSPHATIDYLINOSITOL PHOSPHOLIPASE D	PTHR23221
YJL130C	166373	172133	Name=CAD PROTEIN	PTHR11405:SF5
