Gene	start	end	description	database_name
YGL261C	6295	6649	Name=SERIPAUPERIN	PTHR31002
YGL258W-A	9180	9381	Name=ASPARTIC PROTEINASE 3-RELATED	PTHR47965:SF25
YGL257C	12489	14145	Name=ALPHA-1,3-MANNOSYLTRANSFERASE MNN1-RELATED	PTHR31392
YGL256W	15171	16299	Name=ALCOHOL DEHYDROGENASE	PTHR11496
YGL255W	21047	22106	Name=ZINC/IRON TRANSPORTER	PTHR11040
YGL254W	22325	23096	Name=ZINC FINGER PROTEIN	PTHR46179
YGL253W	24010	25372	Name=HEXOKINASE	PTHR19443
YGL252C	25756	27433	Name=EXOPOLYPHOSPHATASE	PTHR30005
YGL251C	28234	31399	Name=ATP-DEPENDENT DNA HELICASE HFM1-RELATED	PTHR47961:SF7
YGL248W	35662	36598	Name=3',5'-CYCLIC-NUCLEOTIDE PHOSPHODIESTERASE 1	PTHR28283
YGL248W	36601	36757	Name=3',5'-CYCLIC-NUCLEOTIDE PHOSPHODIESTERASE 1	PTHR28283
YGL247W	37014	37512	Name=NUCLEUS EXPORT PROTEIN BRR6	PTHR28136
YGL246C	37631	38747	Name=DECAPPING AND EXORIBONUCLEASE PROTEIN	PTHR12395:SF9
YGL245W	39221	41126	Name=GLUTAMATE--TRNA LIGASE, CYTOPLASMIC	PTHR43097:SF5
YGL244W	41573	43091	Name=RNA POLYMERASE-ASSOCIATED PROTEIN RTF1 HOMOLOG	PTHR13115:SF8
YGL243W	43355	44504	Name=TRNA-SPECIFIC ADENOSINE DEAMINASE 1	PTHR47803
YGL241W	45469	48454	Name=IMPORTIN-7, 8, 11	PTHR10997
YGL240W	48811	49363	Name=ANAPHASE-PROMOTING COMPLEX 10	PTHR12936
YGL238W	49564	52420	Name=EXPORTIN-2	PTHR10997:SF8
YGL237C	52754	53405	Name=NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT ALPHA	PTHR12632:SF6
YGL236C	53807	55703	Name=GLUCOSE INHIBITED DIVISION PROTEIN A	PTHR11806
YGL234W	56491	58873	Name=TRIFUNCTIONAL PURINE BIOSYNTHETIC PROTEIN ADENOSINE-3-RELATED	PTHR10520
YGL233W	59152	61744	Name=EXOCYST COMPLEX COMPONENT 6	PTHR12702:SF0
YGL232W	62102	62903	Name=THUMP DOMAIN-CONTAINING PROTEIN 1	PTHR13452:SF10
YGL231C	63074	63596	Name=ER MEMBRANE PROTEIN COMPLEX SUBUNIT 4	PTHR19315
YGL229C	64505	64706	Name=SIT4-ASSOCIATING PROTEIN SAP155-RELATED	PTHR12634:SF14
YGL229C	64703	66563	Name=SIT4-ASSOCIATING PROTEIN SAP155-RELATED	PTHR12634:SF14
YGL229C	66587	66800	Name=SIT4-ASSOCIATING PROTEIN SAP155-RELATED	PTHR12634:SF14
YGL229C	66845	66956	Name=SIT4-ASSOCIATING PROTEIN SAP155-RELATED	PTHR12634:SF14
YGL227W	70700	72446	Name=RAN BINDING PROTEIN 9-RELATED	PTHR12864
YGL226W	73343	73709	Name=CYTOCHROME C OXIDASE SUBUNIT IV	PTHR10707
YGL225W	76951	77878	Name=GDP-MANNOSE TRANSPORTER 1-RELATED	PTHR11132:SF251
YGL224C	78017	78854	Name=PHOSPHATE METABOLISM PROTEIN 8-RELATED	PTHR47438
YGL221C	81431	82265	Name=NGG1 INTERACTING FACTOR 3	PTHR13799
YGL220W	82482	82725	Name=BOLA-LIKE PROTEIN 2	PTHR12735:SF27
YGL219C	82880	84254	Name=MITOCHONDRIAL DISTRIBUTION AND MORPHOLOGY PROTEIN 34	PTHR28185
YGL216W	84924	86916	Name=KINESIN-LIKE PROTEIN	PTHR24115:SF557
YGL215W	87984	89226	Name=PHO85 CYCLIN CLG1	PTHR15615:SF27
YGL213C	90062	91223	Name=WD REPEAT-CONTAINING PROTEIN 61	PTHR44090
YGL212W	91447	92380	Name=SYNTAXIN	PTHR19957
YGL211W	92575	93538	Name=ATPASES OF THE PP SUPERFAMILY-RELATED	PTHR11807
YGL210W	93816	94359	Name=DRAB11-RELATED	PTHR47979
YGL209W	95864	96578	Name=REGULATORY PROTEIN MIG1-RELATED	PTHR47428
YGL209W	96605	97001	Name=REGULATORY PROTEIN MIG1-RELATED	PTHR47428
YGL208W	97578	98577	Name=5'-AMP-ACTIVATED PROTEIN KINASE , BETA SUBUNIT	PTHR10343
YGL207W	98972	102062	Name=CDC68 RELATED	PTHR13980
YGL206C	102581	107447	Name=CLATHRIN HEAVY CHAIN	PTHR10292:SF1
YGL205W	108215	110219	Name=ACYL-COENZYME A OXIDASE-LIKE PROTEIN	PTHR10909:SF352
YGL203C	113224	114466	Name=PHEROMONE-PROCESSING CARBOXYPEPTIDASE KEX1	PTHR11802:SF190
YGL202W	116068	117550	Name=AMINOTRANSFERASE	PTHR42790
YGL201C	118033	120607	Name=DNA REPLICATION LICENSING FACTOR MCM6	PTHR11630:SF43
YGL200C	122711	123281	Name=RE49489P	PTHR22811:SF31
YGL198W	123699	124287	Name=GOLGI MEMBRANE PROTEIN YIP1	PTHR21236
YGL197W	124704	129153	Name=MCG48959-RELATED	PTHR43503
YGL196W	129901	131152	Name=ZGC:162816	PTHR28004:SF2
YGL195W	132266	139424	Name=EIF-2-ALPHA KINASE ACTIVATOR GCN1	PTHR23346:SF7
YGL194C	140409	141669	Name=HISTONE DEACETYLASE	PTHR10625
YGL192W	142708	143839	Name=N6-ADENOSINE-METHYLTRANSFERASE	PTHR12829
YGL191W	144892	145183	Name=CYTOCHROME C OXIDASE POLYPEPTIDE VIA	PTHR11504
YGL190C	145817	147368	Name=PROTEIN PHOSPHATASE PP2A REGULATORY SUBUNIT B	PTHR11871
YGL189C	148273	148585	Name=40S RIBOSOMAL PROTEIN S26	PTHR12538
YGL187C	149709	150123	Name=CYTOCHROME C OXIDASE SUBUNIT 5B, MITOCHONDRIAL	PTHR10122
YGL186C	151039	152770	Name=PURINE-CYTOSINE PERMEASE FCY2-RELATED	PTHR31806
YGL185C	153208	154276	Name=2-HYDROXYACID DEHYDROGENASE-RELATED	PTHR10996
YGL184C	154788	155997	Name=CYSTATHIONINE BETA-LYASE	PTHR11808:SF50
YGL181W	157924	159094	Name=FI20236P1	PTHR45705
YGL180W	160131	162282	Name=AUTOPHAGY-RELATED 1, ISOFORM B	PTHR24348:SF39
YGL179C	163432	165028	Name=SERINE/THREONINE KINASE	PTHR24343
YGL178W	167388	169485	Name=RNA BINDING PROTEIN PUMILIO-RELATED	PTHR12537
YGL174W	174779	175328	Name=BUD13 HOMOLOG	PTHR31809
YGL173C	176171	180110	Name=5'->3' EXORIBONUCLEASE	PTHR12341
YGL172W	180703	182116	Name=NUCLEOPORIN NUP49/NSP49	PTHR13000:SF2
YGL171W	182492	184013	Name=ATP-DEPENDENT RNA HELICASE DDX52-RELATED	PTHR24031:SF594
YGL169W	186191	187331	Name=SI:CH211-153B23.4	PTHR17490:SF16
YGL167C	187636	190360	Name=CALCIUM-TRANSPORTING ATPASE	PTHR42861
YGL166W	191132	191705	Name=TRANSCRIPTIONAL ACTIVATOR HAA1-RELATED	PTHR28088
YGL164C	191989	192187	Name=RAN-SPECIFIC GTPASE-ACTIVATING PROTEIN 30-RELATED	PTHR31010
YGL164C	192187	193297	Name=RAN-SPECIFIC GTPASE-ACTIVATING PROTEIN 30-RELATED	PTHR31010
YGL163C	193748	195827	Name=DNA EXCISION REPAIR PROTEIN ERCC-6-RELATED	PTHR45629:SF7
YGL161C	199212	199986	Name=PROTEIN YIPF	PTHR12822:SF2
YGL160W	200564	202268	Name=METALLOREDUCTASE AIM14-RELATED	PTHR11972:SF86
YGL159W	202733	203822	Name=KETIMINE REDUCTASE MU-CRYSTALLIN	PTHR13812
YGL158W	207222	208503	Name=OVARIAN-SPECIFIC SERINE/THREONINE-PROTEIN KINASE LOK-RELATED	PTHR44167
YGL157W	209021	210014	Name=NAD DEPENDENT EPIMERASE/DEHYDRATASE	PTHR10366
YGL156W	210746	213659	Name=ALPHA-MANNOSIDASE 2C1	PTHR46017
YGL155W	214120	215185	Name=GERANYLGERANYL TRANSFERASE TYPE-1 SUBUNIT BETA	PTHR11774:SF4
YGL154C	215493	216000	Name=PHOSPHOPANTETHEINE TRANSFERASE	PTHR12215
YGL153W	216291	217233	Name=PEROXISOMAL MEMBRANE PROTEIN PEX14	PTHR23058
YGL151W	217533	220920	Name=MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 5	PTHR35784
YGL150C	221202	225198	Name=CHROMATIN-REMODELING ATPASE INO80	PTHR45685:SF2
YGL148W	226402	227506	Name=CHORISMATE SYNTHASE	PTHR21085
YGL147C	227762	228326	Name=60S/50S RIBOSOMAL PROTEIN L6/L9	PTHR11655
YGL145W	230264	232334	Name=RAD50-INTERACTING PROTEIN 1	PTHR13520:SF0
YGL144C	232593	233217	Name=LIPASE ROG1-RELATED	PTHR12482:SF42
YGL144C	233295	234486	Name=LIPASE ROG1-RELATED	PTHR12482:SF42
YGL143C	234734	235844	Name=LD18447P	PTHR43804
YGL142C	236313	238071	Name=GLYCOSYLTRANSFERASE	PTHR22760
YGL141W	238365	238656	Name=UBIQUITIN-PROTEIN LIGASE E3C	PTHR45700
YGL141W	239016	241083	Name=UBIQUITIN-PROTEIN LIGASE E3C	PTHR45700
YGL140C	241355	245006	Name=60S RIBOSOMAL PROTEIN L19	PTHR47804
YGL139W	245749	247819	Name=FLAVIN CARRIER PROTEIN 1-RELATED	PTHR31145:SF4
YGL137W	249875	252248	Name=COATOMER	PTHR19876
YGL136C	252929	253766	Name=RIBOSOMAL RNA METHYLTRANSFERASE	PTHR10920
YGL135W	254644	255289	Name=60S RIBOSOMAL PROTEIN L10A	PTHR23105:SF101
YGL134W	255666	256953	Name=PHO85 CYCLIN-10-RELATED	PTHR15615:SF32
YGL133W	257710	261430	Name=ISWI CHROMATIN-REMODELING COMPLEX SUBUNIT YPL216W-RELATED	PTHR32075
YGL131C	261809	265838	Name=E3 UBIQUITIN-PROTEIN LIGASE SNT2	PTHR47672
YGL130W	266229	267360	Name=MRNA-CAPPING ENZYME	PTHR10367
YGL129C	267740	269018	Name=MITOCHONDRIAL 28S RIBOSOMAL PROTEIN S29	PTHR12810
YGL128C	269349	270123	Name=DNAJ HOMOLOG SUBFAMILY C MEMBER 17	PTHR44313
YGL127C	270493	270754	Name=MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 31	PTHR13186
YGL126W	271000	272131	Name=FAT STORAGE-INDUCING TRANSMEMBRANE PROTEIN	PTHR23129:SF0
YGL125W	272523	274290	Name=METHYLENETETRAHYDROFOLATE REDUCTASE	PTHR45754
YGL124C	274788	276579	Name=FI21343P1	PTHR13027:SF7
