Gene	start	end	description	database_name	transposons	transposons_normalized
YKL222C	4435	4666	Name=Fungal_trans_2	SM00906	217	0.939
YKL222C	5431	5566	Name=gal4_2	SM00066	62	0.459
YKL214C	31291	31498	Name=rrm1_1	SM00360	71	0.343
YKL213C	33243	33357	Name=WD40_4	SM00320	0	0
YKL213C	33366	33480	Name=WD40_4	SM00320	2	0.018
YKL213C	33489	33606	Name=WD40_4	SM00320	0	0
YKL213C	33609	33729	Name=WD40_4	SM00320	3	0.025
YKL213C	33732	33843	Name=WD40_4	SM00320	5	0.045
YKL213C	33987	34101	Name=WD40_4	SM00320	37	0.325
YKL210W	41845	42223	Name=UBA_e1_C_a_2	SM00985	1	0.003
YKL209C	42506	43058	Name=AAA_5	SM00382	438	0.793
YKL209C	44537	45143	Name=AAA_5	SM00382	466	0.769
YKL207W	48197	48794	Name=DUF106_2	SM01415	552	0.925
YKL203C	55937	56033	Name=FATC_2	SM01343	6	0.062
YKL203C	56090	56987	Name=pi3k_hr1_6	SM00146	20	0.022
YKL203C	57197	57494	Name=Rapamycin_bind_3	SM01345	1	0.003
YKL203C	60374	60851	Name=DUF3385_3	SM01346	19	0.04
YKL198C	68711	69632	Name=serkin_6	SM00220	10437	11.332
YKL197C	71267	71675	Name=AAA_5	SM00382	662	1.623
YKL197C	71987	72506	Name=AAA_5	SM00382	207	0.399
YKL196C	75150	75405	Name=Longin_2	SM01270	6	0.024
YKL193C	78937	78997	Name=LRR_sd22_2	SM00365	0	0
YKL193C	79000	79078	Name=LRR_sd22_2	SM00365	0	0
YKL193C	79081	79144	Name=LRR_sd22_2	SM00365	1	0.016
YKL193C	79144	79210	Name=LRR_typ_2	SM00369	1	0.015
YKL193C	79147	79210	Name=LRR_sd22_2	SM00365	1	0.016
YKL193C	79213	79276	Name=LRR_sd22_2	SM00365	1	0.016
YKL193C	79279	79342	Name=LRR_sd22_2	SM00365	0	0
YKL193C	79345	79414	Name=LRR_typ_2	SM00369	2	0.029
YKL193C	79351	79414	Name=LRR_sd22_2	SM00365	2	0.032
YKL193C	79417	79480	Name=LRR_sd22_2	SM00365	0	0
YKL193C	79480	79546	Name=LRR_typ_2	SM00369	4	0.061
YKL193C	79483	79546	Name=LRR_sd22_2	SM00365	4	0.063
YKL193C	79549	79615	Name=LRR_sd22_2	SM00365	0	0
YKL193C	79615	79687	Name=LRR_typ_2	SM00369	2	0.028
YKL193C	79624	79687	Name=LRR_sd22_2	SM00365	1	0.016
YKL193C	79696	79759	Name=LRR_sd22_2	SM00365	1	0.016
YKL190W	83022	83106	Name=efh_1	SM00054	22	0.262
YKL190W	83118	83202	Name=efh_1	SM00054	0	0
YKL190W	83229	83313	Name=efh_1	SM00054	0	0
YKL190W	83352	83436	Name=efh_1	SM00054	7	0.083
YKL188C	86545	87295	Name=AAA_5	SM00382	564	0.752
YKL185W	95978	96143	Name=GATA_3	SM00401	445	2.697
YKL182W	105666	106725	Name=Acyl transferase domain in polyketide synthase (PKS) enzymes.	SM00827	25	0.024
YKL181W	107328	107676	Name=Pribosyltran_N_2	SM01400	21	0.06
YKL173W	124734	125079	Name=EFG_IV_2	SM00889	1	0.003
YKL173W	125085	125361	Name=EFG_C_a	SM00838	20	0.072
YKL171W	128822	130226	Name=serkin_6	SM00220	642	0.457
YKL170W	130637	131048	Name=Ribosomal_L14_2	SM01374	43	0.105
YKL168C	131326	132226	Name=serkin_6	SM00220	758	0.842
YKL167C	133774	134014	Name=L51_S25_CI_B8_2	SM00916	212	0.883
YKL166C	134679	135441	Name=serkin_6	SM00220	650	0.853
YKL161C	149733	150618	Name=serkin_6	SM00220	239	0.27
YKL152C	163818	164376	Name=PGAM_5	SM00855	14	0.025
YKL149C	167620	167977	Name=DBR1_2	SM01124	105	0.294
YKL145W	174939	175356	Name=AAA_5	SM00382	3	0.007
YKL139W	183507	184365	Name=serkin_6	SM00220	6	0.007
YKL129C	196624	196798	Name=SH3_2	SM00326	103	0.592
YKL129C	198019	200077	Name=MYSc_2a	SM00242	558	0.271
YKL128C	200988	201606	Name=PGAM_5	SM00855	907	1.468
YKL126W	206748	207513	Name=serkin_6	SM00220	106	0.139
YKL126W	207516	207702	Name=pkinase_C_6	SM00133	6	0.032
YKL124W	211277	211649	Name=SPRY_3	SM00449	350	0.941
YKL121W	214628	214745	Name=WD40_4	SM00320	46	0.393
YKL121W	214949	215063	Name=WD40_4	SM00320	24	0.211
YKL121W	215072	215189	Name=WD40_4	SM00320	12	0.103
YKL121W	215885	216182	Name=WD40_4	SM00320	155	0.522
YKL116C	221376	222324	Name=serkin_6	SM00220	741	0.782
YKL114C	223573	224407	Name=ap2real3	SM00518	847	1.016
YKL113C	225122	225221	Name=HhH_4	SM00279	5	0.051
YKL113C	225227	225443	Name=xpgineu	SM00484	56	0.259
YKL113C	225551	225872	Name=xpgn3	SM00485	128	0.399
YKL101W	249163	250027	Name=serkin_6	SM00220	13	0.015
YKL100C	253969	255013	Name=psh_8	SM00730	360	0.345
YKL092C	266990	268112	Name=RasGAP_2	SM00323	109	0.097
YKL092C	268142	268451	Name=C2_3c	SM00239	21	0.068
YKL091C	269837	270347	Name=sec14_4	SM00516	279	0.547
YKL091C	270425	270500	Name=CRAL_TRIO_N_2	SM01100	12	0.16
YKL090W	271902	272028	Name=cue_7	SM00546	44	0.349
YKL090W	272043	272169	Name=cue_7	SM00546	82	0.651
YKL090W	272910	273198	Name=SMR_2	SM00463	303	1.052
YKL086W	278314	278659	Name=ParB_7	SM00470	3658	10.603
YKL081W	283641	283959	Name=EF1G_2	SM01183	309	0.972
YKL079W	286678	287719	Name=kinesin_4	SM00129	257	0.247
YKL078W	289082	289643	Name=ultradead3	SM00487	7	0.012
YKL078W	289784	290093	Name=helicmild6	SM00490	0	0
YKL078W	290273	290555	Name=ha2_5	SM00847	0	0
YKL074C	294660	294921	Name=rrm2_1	SM00361	327	1.253
YKL067W	314827	315238	Name=ndk_5	SM00562	453	1.102
YKL062W	324947	325016	Name=c2h2final6	SM00355	14	0.203
YKL062W	325034	325100	Name=c2h2final6	SM00355	1	0.015
YKL059C	328852	328900	Name=c2hcfinal6	SM00343	3	0.062
YKL059C	329209	329428	Name=DWNN_2	SM01180	0	0
YKL049C	346077	346392	Name=h35	SM00428	41	0.13
YKL048C	347900	348872	Name=serkin_6	SM00220	11	0.011
YKL043W	357366	357621	Name=KilA_N_2	SM01252	98	0.384
YKL040C	361477	361756	Name=Nfu_N_3a	SM00932	109	0.391
YKL038W	365728	365866	Name=gal4_2	SM00066	23	0.167
YKL034W	373926	374082	Name=ring_2	SM00184	123	0.788
YKL032C	380349	380559	Name=hmgende2	SM00398	415	1.976
YKL032C	380568	380778	Name=hmgende2	SM00398	139	0.662
YKL029C	382898	383660	Name=Malic_M_2	SM00919	5017	6.584
YKL029C	383690	384233	Name=malic_2	SM01274	1658	3.053
YKL028W	385827	386268	Name=tfiie3	SM00531	10	0.023
YKL022C	395025	395124	Name=tpr_5	SM00028	5	0.051
YKL022C	395127	395226	Name=tpr_5	SM00028	0	0
YKL022C	395250	395349	Name=tpr_5	SM00028	1	0.01
YKL022C	395352	395451	Name=tpr_5	SM00028	1	0.01
YKL022C	395454	395553	Name=tpr_5	SM00028	3	0.03
YKL022C	395556	395655	Name=tpr_5	SM00028	5	0.051
YKL022C	395760	395859	Name=tpr_5	SM00028	0	0
YKL022C	396072	396171	Name=tpr_5	SM00028	0	0
YKL021C	397598	397721	Name=WD40_4	SM00320	1	0.008
YKL021C	397925	398033	Name=WD40_4	SM00320	0	0
YKL021C	398057	398174	Name=WD40_4	SM00320	1	0.009
YKL021C	398183	398345	Name=WD40_4	SM00320	0	0
YKL021C	398354	398465	Name=WD40_4	SM00320	0	0
YKL020C	399767	399854	Name=ANK_2a	SM00248	46	0.529
YKL020C	399866	399953	Name=ANK_2a	SM00248	26	0.299
YKL020C	400286	400559	Name=iptmega2	SM00429	21	0.077
YKL018W	404141	404267	Name=WD40_4	SM00320	3	0.024
