Gene	start	end	description	database_name	transposons	transposons_normalized
YGL254W	22340	22412	Name=c2h2final6	SM00355	141	1.958
YGL254W	22430	22502	Name=c2h2final6	SM00355	447	6.208
YGL254W	22520	22586	Name=c2h2final6	SM00355	13	0.197
YGL254W	22769	22841	Name=c2h2final6	SM00355	85	1.181
YGL254W	23042	23123	Name=c2h2final6	SM00355	112	1.383
YGL251C	28822	29788	Name=Sec63_2	SM00973	523	0.541
YGL251C	30145	30403	Name=helicmild6	SM00490	207	0.802
YGL251C	30634	31231	Name=ultradead3	SM00487	185	0.31
YGL247W	37074	37482	Name=Brr6_like_C_C_2	SM01042	6	0.015
YGL244W	42212	42539	Name=rtf1	SM00719	1	0.003
YGL243W	43373	44507	Name=adara_8	SM00552	475	0.419
YGL242C	44837	44942	Name=ANK_2a	SM00248	57	0.543
YGL242C	44963	45050	Name=ANK_2a	SM00248	6	0.069
YGL241W	45508	45745	Name=IBN_N_2	SM00913	164	0.692
YGL240W	48856	49324	Name=APC10_2	SM01337	64	0.137
YGL238W	49621	49840	Name=IBN_N_2	SM00913	2	0.009
YGL237C	52877	53060	Name=cbf3	SM00521	68	0.372
YGL236C	53819	54032	Name=GIDA_assoc_3_2	SM01228	281	1.319
YGL234W	56806	57406	Name=GARS_A_3	SM01209	13	0.022
YGL234W	57517	57802	Name=GARS_C_2	SM01210	0	0
YGL232W	62555	62852	Name=THUMP_a_2	SM00981	113	0.38
YGL227W	70868	71444	Name=SPRY_3	SM00449	130	0.226
YGL227W	71978	72149	Name=ctlh	SM00668	4	0.023
YGL227W	72155	72476	Name=toby_final6	SM00757	25	0.078
YGL216W	84909	86223	Name=kinesin_4	SM00129	708	0.539
YGL213C	90290	90404	Name=WD40_4	SM00320	19	0.167
YGL213C	90455	90581	Name=WD40_4	SM00320	13	0.103
YGL213C	90608	90719	Name=WD40_4	SM00320	5	0.045
YGL213C	91121	91241	Name=WD40_4	SM00320	17	0.142
YGL212W	91444	91795	Name=PX_2	SM00312	1	0.003
YGL212W	92167	92368	Name=tSNARE_6	SM00397	144	0.716
YGL210W	93825	94323	Name=ras_sub_4	SM00173	369	0.741
YGL210W	93834	94323	Name=rab_sub_5	SM00175	369	0.755
YGL210W	93840	94323	Name=rho_sub_3	SM00174	369	0.764
YGL210W	93849	94440	Name=ran_sub_2	SM00176	501	0.848
YGL209W	95909	95975	Name=c2h2final6	SM00355	40	0.606
YGL209W	95993	96065	Name=c2h2final6	SM00355	23	0.319
YGL208W	98232	98574	Name=AMPKBI_2	SM01010	379	1.108
YGL207W	98987	99476	Name=FACT_Spt16_Nlob_2	SM01285	3	0.006
YGL207W	100628	101090	Name=SPT16_2	SM01286	24	0.052
YGL207W	101471	101741	Name=Rtt106_2	SM01287	3	0.011
YGL206C	102740	103217	Name=CLH_2	SM00299	19	0.04
YGL206C	103226	103664	Name=CLH_2	SM00299	7	0.016
YGL206C	103679	104102	Name=CLH_2	SM00299	11	0.026
YGL206C	104114	104549	Name=CLH_2	SM00299	3	0.007
YGL206C	104570	104987	Name=CLH_2	SM00299	17	0.041
YGL206C	105002	105428	Name=CLH_2	SM00299	7	0.016
YGL206C	105449	105875	Name=CLH_2	SM00299	2	0.005
YGL201C	118399	120091	Name=mcm	SM00350	47	0.028
YGL200C	122711	123245	Name=EMP24_GP25L_2	SM01190	416	0.779
YGL196W	130804	131122	Name=D_ser_dehydrat_2	SM01119	156	0.491
YGL195W	135500	136169	Name=TOG_3	SM01349	80	0.12
YGL190C	146432	146546	Name=WD40_4	SM00320	1	0.009
YGL190C	146603	146714	Name=WD40_4	SM00320	6	0.054
YGL190C	146756	146873	Name=WD40_4	SM00320	5	0.043
YGL190C	147047	147167	Name=WD40_4	SM00320	3	0.025
YGL190C	147230	147344	Name=WD40_4	SM00320	2	0.018
YGL181W	157948	158329	Name=arf_gap_3	SM00105	227	0.596
YGL181W	158491	158605	Name=uba_6	SM00165	98	0.86
YGL180W	160137	161040	Name=serkin_6	SM00220	213	0.236
YGL179C	164059	164941	Name=serkin_6	SM00220	647	0.734
YGL178W	167982	168093	Name=pum_5	SM00025	70	0.631
YGL178W	168096	168201	Name=pum_5	SM00025	81	0.771
YGL178W	168204	168312	Name=pum_5	SM00025	7	0.065
YGL178W	168333	168438	Name=pum_5	SM00025	0	0
YGL178W	168447	168552	Name=pum_5	SM00025	2	0.019
YGL178W	168555	168666	Name=pum_5	SM00025	5	0.045
YGL178W	168669	168774	Name=pum_5	SM00025	6	0.057
YGL178W	168864	168969	Name=pum_5	SM00025	3	0.029
YGL171W	182813	183434	Name=ultradead3	SM00487	7	0.011
YGL171W	183548	183791	Name=helicmild6	SM00490	10	0.041
YGL167C	190129	190357	Name=Cation_ATPase_N_a_2	SM00831	5	0.022
YGL166W	191132	191249	Name=copper1	SM00412	213	1.821
YGL163C	194093	194345	Name=helicmild6	SM00490	8	0.032
YGL163C	194855	195602	Name=ultradead3	SM00487	22	0.029
YGL158W	207396	208275	Name=serkin_6	SM00220	430	0.489
YGL156W	212111	212351	Name=Alpha_mann_mid_2	SM00872	45	0.188
YGL150C	221337	221586	Name=helicmild6	SM00490	2	0.008
YGL150C	222870	223467	Name=ultradead3	SM00487	8	0.013
YGL143C	235289	235628	Name=PCRF_a_2	SM00937	8	0.024
YGL141W	240069	241083	Name=hect_3	SM00119	266	0.262
YGL139W	245806	246220	Name=TRP_N_2	SM01320	226	0.546
YGL137W	249875	249992	Name=WD40_4	SM00320	3	0.026
YGL137W	250001	250118	Name=WD40_4	SM00320	4	0.034
YGL137W	250127	250244	Name=WD40_4	SM00320	3	0.026
YGL137W	250256	250376	Name=WD40_4	SM00320	8	0.067
YGL137W	250385	250511	Name=WD40_4	SM00320	5	0.04
YGL137W	250520	250637	Name=WD40_4	SM00320	0	0
YGL137W	250646	250766	Name=WD40_4	SM00320	3	0.025
YGL133W	258976	259156	Name=testlast3	SM00571	12	0.067
YGL131C	262112	262325	Name=PHD_3	SM00249	142	0.667
YGL131C	262574	262739	Name=PHD_3	SM00249	94	0.57
YGL131C	264047	264191	Name=sant	SM00717	75	0.521
YGL131C	264758	264902	Name=PHD_3	SM00249	30	0.208
YGL131C	265082	265496	Name=BAH_4	SM00439	89	0.215
YGL128C	269907	270102	Name=dnaj_3	SM00271	17	0.087
YGL120C	282188	282458	Name=ha2_5	SM00847	9	0.033
YGL120C	282641	282995	Name=helicmild6	SM00490	2	0.006
YGL120C	283106	283667	Name=ultradead3	SM00487	7	0.012
YGL116W	290676	290796	Name=WD40_4	SM00320	0	0
YGL116W	290805	290919	Name=WD40_4	SM00320	2	0.018
YGL116W	290931	291048	Name=WD40_4	SM00320	2	0.017
YGL116W	291057	291183	Name=WD40_4	SM00320	2	0.016
YGL116W	291192	291339	Name=WD40_4	SM00320	6	0.041
YGL116W	291351	291468	Name=WD40_4	SM00320	1	0.009
YGL115W	292153	292300	Name=cbs_1	SM00116	1	0.007
YGL115W	292399	292558	Name=cbs_1	SM00116	6	0.038
YGL115W	292627	292771	Name=cbs_1	SM00116	19	0.132
YGL115W	292843	292987	Name=cbs_1	SM00116	15	0.104
YGL112C	299506	299698	Name=TAF_cls	SM00803	0	0
YGL110C	302337	302463	Name=cue_7	SM00546	3	0.024
YGL106W	306578	306662	Name=efh_1	SM00054	2	0.024
YGL106W	306815	306899	Name=efh_1	SM00054	1	0.012
YGL106W	306923	307007	Name=efh_1	SM00054	1	0.012
YGL101W	312355	312712	Name=hd_13	SM00471	72	0.202
YGL100W	313237	313345	Name=WD40_4	SM00320	8	0.074
YGL100W	313366	313489	Name=WD40_4	SM00320	21	0.171
YGL100W	313525	313648	Name=WD40_4	SM00320	0	0
YGL100W	313837	313966	Name=WD40_4	SM00320	9	0.07
YGL100W	314113	314230	Name=WD40_4	SM00320	11	0.094
YGL096W	325913	326108	Name=HOX_1	SM00389	121	0.621
YGL094C	331201	331750	Name=exoiiiendus	SM00479	204	0.372
YGL093W	336203	337154	Name=spc73	SM00787	0	0
YGL087C	346496	346880	Name=ubc_7	SM00212	994	2.589
YGL085W	349775	350399	Name=SNASE_2	SM00318	353	0.566
YGL083W	353247	354030	Name=serkin_6	SM00220	390	0.498
YGL078C	360497	360740	Name=helicmild6	SM00490	18	0.074
YGL078C	360863	361466	Name=ultradead3	SM00487	155	0.257
YGL073W	369266	369578	Name=hsfneu3	SM00415	4	0.013
YGL070C	374491	374608	Name=Cys4_2	SM00440	189	1.615
YGL070C	374653	374812	Name=rpol9cneu	SM00661	18	0.113
YGL064C	381618	382002	Name=helicmild6	SM00490	122	0.318
YGL064C	382140	382809	Name=ultradead3	SM00487	76	0.114
YGL062W	386273	386594	Name=Biotin_carb_C_2	SM00878	63	0.196
YGL058W	394007	394436	Name=ubc_7	SM00212	13	0.03
YGL056C	396646	396790	Name=cbs_1	SM00116	159	1.104
YGL056C	396904	397048	Name=cbs_1	SM00116	196	1.361
YGL055W	399864	400089	Name=Cyt_b5_2	SM01117	2	0.009
YGL054C	400915	401278	Name=Cornichon_2	SM01398	88	0.242
YGL049C	407174	407903	Name=if4_15	SM00543	290	0.398
YGL048C	410326	410743	Name=AAA_5	SM00382	8	0.019
YGL045W	414879	415284	Name=Arrestin_C_2	SM01017	253	0.625
YGL044C	416760	416979	Name=rrm1_1	SM00360	2	0.009
YGL043W	417501	417717	Name=TFS2_5	SM00509	303	1.403
YGL043W	417921	418224	Name=mid_6	SM00510	86	0.284
YGL043W	418290	418407	Name=Cys4_2	SM00440	55	0.47
YGL040C	419541	420516	Name=ALAD_2	SM01004	23	0.024
YGL035C	432792	432864	Name=c2h2final6	SM00355	266	3.694
YGL035C	432882	432948	Name=c2h2final6	SM00355	19	0.288
YGL023C	450520	450772	Name=fyve_4	SM00064	208	0.825
YGL021W	456729	457056	Name=DUF3635_2	SM01331	132	0.404
YGL019W	458231	458879	Name=CK_II_beta_2	SM01085	123	0.19
YGL018C	459442	459628	Name=dnaj_3	SM00271	9	0.048
YGL014W	467830	467935	Name=pum_5	SM00025	48	0.457
YGL014W	467938	468043	Name=pum_5	SM00025	185	1.762
YGL014W	468046	468154	Name=pum_5	SM00025	129	1.194
YGL014W	468157	468262	Name=pum_5	SM00025	283	2.695
YGL014W	468265	468370	Name=pum_5	SM00025	124	1.181
YGL014W	468373	468478	Name=pum_5	SM00025	136	1.295
YGL014W	468493	468604	Name=pum_5	SM00025	30	0.27
YGL014W	468610	468712	Name=pum_5	SM00025	36	0.353
YGL013C	470609	470828	Name=Fungal_trans_2	SM00906	95	0.434
YGL013C	472049	472178	Name=gal4_2	SM00066	86	0.667
YGL011C	475145	475211	Name=Proteasome_A_N_2	SM00948	9	0.136
YGL008C	482246	482459	Name=Cation_ATPase_N_a_2	SM00831	0	0
YGL006W	486080	486317	Name=Cation_ATPase_N_a_2	SM00831	243	1.025
YGL004C	491008	491131	Name=WD40_4	SM00320	65	0.528
