Gene	start	end	description	database_name	transposons	transposons_normalized
YEL077C	2393	3425	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	1609	1.559
YEL071W	16451	17078	Name=FAD-binding/transporter-associated domain-like	SSF56176	1463	2.333
YEL071W	17006	17840	Name=FAD-linked oxidases, C-terminal domain	SSF55103	542	0.65
YEL070W	19628	20471	Name=NAD(P)-binding Rossmann-fold domains	SSF51735	695	0.824
YEL070W	20477	21089	Name=6-phosphogluconate dehydrogenase C-terminal domain-like	SSF48179	470	0.768
YEL069C	21677	23051	Name=MFS general substrate transporter	SSF103473	1631	1.187
YEL066W	26763	27186	Name=Acyl-CoA N-acyltransferases (Nat)	SSF55729	1350	3.191
YEL065W	27867	29376	Name=MFS general substrate transporter	SSF103473	1587	1.052
YEL061C	37989	39429	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	55	0.038
YEL060C	40210	41113	Name=Subtilisin-like	SSF52743	1243	1.377
YEL060C	41119	41419	Name=Protease propeptides/inhibitors	SSF54897	191	0.637
YEL058W	43318	43594	Name=Phosphoglucomutase, first 3 domains	SSF53738	14	0.051
YEL058W	43501	43795	Name=Phosphoglucomutase, first 3 domains	SSF53738	0	0
YEL058W	43843	44173	Name=Phosphoglucomutase, first 3 domains	SSF53738	0	0
YEL058W	44644	44917	Name=Phosphoglucomutase, C-terminal domain	SSF55957	13	0.048
YEL056W	47516	48326	Name=WD40 repeat-like	SSF50978	502	0.62
YEL055C	49664	51473	Name=ARM repeat	SSF48371	69	0.038
YEL054C	52777	52993	Name=Ribosomal protein L11, C-terminal domain	SSF46906	128	0.593
YEL054C	52960	53215	Name=Ribosomal L11/L12e N-terminal domain	SSF54747	98	0.384
YEL052W	56886	57333	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	282	0.631
YEL050C	59699	60137	Name=Translation proteins SH3-like domain	SSF50104	60	0.137
YEL050C	60227	60572	Name=Nucleic acid-binding proteins	SSF50249	49	0.142
YEL048C	64780	65152	Name=SNARE-like	SSF64356	37	0.099
YEL047C	65396	66779	Name=FAD/NAD(P)-binding domain	SSF51905	1209	0.874
YEL047C	65570	66050	Name=Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain	SSF56425	964	2.008
YEL046C	67760	68744	Name=PLP-dependent transferases	SSF53383	183	0.186
YEL043W	70598	70901	Name=Fibronectin type III	SSF49265	383	1.264
YEL041W	76268	77225	Name=NAD kinase/diacylglycerol kinase-like	SSF111331	746	0.78
YEL040W	78239	78956	Name=Concanavalin A-like lectins/glucanases	SSF49899	491	0.685
YEL039C	79650	79947	Name=Cytochrome c	SSF46626	275	0.926
YEL038W	80471	81134	Name=HAD-like	SSF56784	701	1.057
YEL037C	81412	81556	Name=UBA-like	SSF46934	153	1.062
YEL037C	81652	81856	Name=XPC-binding domain	SSF101238	201	0.985
YEL037C	82036	82207	Name=UBA-like	SSF46934	14	0.082
YEL037C	82375	82600	Name=Ubiquitin-like	SSF54236	55	0.244
YEL036C	83466	84456	Name=Nucleotide-diphospho-sugar transferases	SSF53448	31	0.031
YEL034W	85718	85952	Name=Translation proteins SH3-like domain	SSF50104	24	0.103
YEL034W	85931	86135	Name=Nucleic acid-binding proteins	SSF50249	365	1.789
YEL032W	87219	87873	Name=Nucleic acid-binding proteins	SSF50249	18	0.028
YEL032W	88044	89187	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	18	0.016
YEL031W	90768	93846	Name=Calcium ATPase, transmembrane domain M	SSF81665	836	0.272
YEL031W	91017	91410	Name=Calcium ATPase, transduction domain A	SSF81653	749	1.906
YEL031W	91701	92775	Name=HAD-like	SSF56784	611	0.569
YEL031W	91731	92292	Name=Metal cation-transporting ATPase, ATP-binding domain N	SSF81660	600	1.07
YEL030W	94731	95271	Name=Actin-like ATPase domain	SSF53067	198	0.367
YEL030W	95277	95850	Name=Actin-like ATPase domain	SSF53067	157	0.274
YEL030W	95856	96321	Name=Heat shock protein 70kD (HSP70), peptide-binding domain	SSF100920	349	0.751
YEL030W	96225	96534	Name=Heat shock protein 70kD (HSP70), C-terminal subdomain	SSF100934	95	0.307
YEL029C	96893	97793	Name=Ribokinase-like	SSF53613	367	0.408
YEL027W	100802	100997	Name=F1F0 ATP synthase subunit C	SSF81333	2	0.01
YEL027W	101021	101222	Name=F1F0 ATP synthase subunit C	SSF81333	0	0
YEL026W	101955	102315	Name=L30e-like	SSF55315	14	0.039
YEL025C	103024	104452	Name=WD40 repeat-like	SSF50978	795	0.557
YEL024W	107353	107518	Name=ISP transmembrane anchor	SSF81502	52	0.315
YEL024W	107494	107902	Name=ISP domain	SSF50022	41	0.1
YEL022W	113077	113698	Name=Sec7 domain	SSF48425	240	0.386
YEL021W	116176	116959	Name=Ribulose-phoshate binding barrel	SSF51366	52071	66.502
YEL020W-A	117271	117463	Name=Tim10-like	SSF144122	60	0.312
YEL020C	118637	119192	Name=Thiamin diphosphate-binding fold (THDP-binding)	SSF52518	912	1.643
YEL020C	119243	119729	Name=DHS-like NAD/FAD-binding domain	SSF52467	279	0.574
YEL020C	119795	120296	Name=Thiamin diphosphate-binding fold (THDP-binding)	SSF52518	796	1.589
YEL019C	120563	120761	Name=RING/U-box	SSF57850	94	0.475
YEL016C	124796	126023	Name=Alkaline phosphatase-like	SSF53649	1830	1.491
YEL015W	127502	128213	Name=YjeF N-terminal domain-like	SSF64153	836	1.176
YEL013W	129086	130307	Name=ARM repeat	SSF48371	143	0.117
YEL012W	131778	132219	Name=UBC-like	SSF54495	183	0.415
YEL011W	133291	133597	Name=E set domains	SSF81296	473	1.546
YEL011W	133708	134848	Name=(Trans)glycosidases	SSF51445	1772	1.554
YEL011W	134935	135229	Name=Glycosyl hydrolase domain	SSF51011	995	3.384
YEL009C	138926	139088	Name=Leucine zipper domain	SSF57959	24	0.148
YEL006W	144429	145302	Name=Mitochondrial carrier	SSF103506	1416	1.622
YEL003W	148203	148491	Name=Prefoldin	SSF46579	1107	3.844
