Gene	start	end	description	database_name	transposons	transposons_normalized
YGL261C	6295	6649	Name=SERIPAUPERIN	PTHR31002	173	0.489
YGL258W-A	9180	9381	Name=ASPARTIC PROTEINASE 3-RELATED	PTHR47965:SF25	10	0.05
YGL257C	12489	14145	Name=ALPHA-1,3-MANNOSYLTRANSFERASE MNN1-RELATED	PTHR31392	1159	0.7
YGL256W	15171	16299	Name=ALCOHOL DEHYDROGENASE	PTHR11496	457	0.405
YGL255W	21047	22106	Name=ZINC/IRON TRANSPORTER	PTHR11040	68	0.064
YGL254W	22325	23096	Name=ZINC FINGER PROTEIN	PTHR46179	1746	2.265
YGL253W	24010	25372	Name=HEXOKINASE	PTHR19443	1574	1.156
YGL252C	25756	27433	Name=EXOPOLYPHOSPHATASE	PTHR30005	176	0.105
YGL251C	28234	31399	Name=ATP-DEPENDENT DNA HELICASE HFM1-RELATED	PTHR47961:SF7	1377	0.435
YGL248W	35662	36598	Name=3',5'-CYCLIC-NUCLEOTIDE PHOSPHODIESTERASE 1	PTHR28283	1364	1.457
YGL248W	36601	36757	Name=3',5'-CYCLIC-NUCLEOTIDE PHOSPHODIESTERASE 1	PTHR28283	72	0.462
YGL247W	37014	37512	Name=NUCLEUS EXPORT PROTEIN BRR6	PTHR28136	6	0.012
YGL246C	37631	38747	Name=DECAPPING AND EXORIBONUCLEASE PROTEIN	PTHR12395:SF9	182	0.163
YGL245W	39221	41126	Name=GLUTAMATE--TRNA LIGASE, CYTOPLASMIC	PTHR43097:SF5	41	0.022
YGL244W	41573	43091	Name=RNA POLYMERASE-ASSOCIATED PROTEIN RTF1 HOMOLOG	PTHR13115:SF8	150	0.099
YGL243W	43355	44504	Name=TRNA-SPECIFIC ADENOSINE DEAMINASE 1	PTHR47803	483	0.42
YGL241W	45469	48454	Name=IMPORTIN-7, 8, 11	PTHR10997	997	0.334
YGL240W	48811	49363	Name=ANAPHASE-PROMOTING COMPLEX 10	PTHR12936	125	0.226
YGL238W	49564	52420	Name=EXPORTIN-2	PTHR10997:SF8	97	0.034
YGL237C	52754	53405	Name=NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT ALPHA	PTHR12632:SF6	396	0.608
YGL236C	53807	55703	Name=GLUCOSE INHIBITED DIVISION PROTEIN A	PTHR11806	1942	1.024
YGL234W	56491	58873	Name=TRIFUNCTIONAL PURINE BIOSYNTHETIC PROTEIN ADENOSINE-3-RELATED	PTHR10520	32	0.013
