Gene	start	end	description	database_name	transposons	transposons_normalized
YPL281C	9610	10867	Name=Enolase [eno].	MF	26604	21.165
YFL059W	11366	12257	Name=Pyridoxal 5'-phosphate synthase subunit PdxS [pdxS].	MF	20488	22.994
YNL333W	13270	14161	Name=Pyridoxal 5'-phosphate synthase subunit PdxS [pdxS].	MF	15003	16.838
YKL216W	25230	26148	Name=Dihydroorotate dehydrogenase [pyrD].	MF	14275	15.55
Q0085	28529	29264	Name=ATP synthase subunit a [atpB].; ATP synthase, F0 complex, subunit A	MF	16379	22.284
YCL054W	31455	33960	Name=AdoMet-dependent rRNA methyltransferase <gene_name> [SPB1].	MF	56506	22.557
YCL054W	31476	32058	Name=Ribosomal RNA large subunit methyltransferase E [rlmE].	MF	56146	96.471
YBL099W	37167	38688	Name=ATP synthase subunit alpha [atpA].	MF	22299	14.661
YBL098W	39151	40513	Name=Kynurenine 3-monooxygenase [kmo].	MF	21887	16.07
YGL245W	39272	41102	Name=Glutamate--tRNA ligase [gltX].	MF	26265	14.352
Q0130	46738	46942	Name=ATP synthase subunit c [atpH].; ATP synthase, F0 complex, subunit C	MF	3322	16.284
YBL091C	47365	48610	Name=Methionine aminopeptidase 2 [METAP2].	MF	25179	20.224
YPL262W	47420	48797	Name=Fumarate hydratase class II [fumC].	MF	28058	20.376
YML110C	50036	50780	Name=Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE [ubiE].	MF	7879	10.59
YEL054C	52783	53191	Name=50S ribosomal protein L11 [rplK].	MF	7232	17.725
YGL236C	53798	55691	Name=tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG [mnmG].	MF	45627	24.103
YOL143C	54603	55065	Name=6,7-dimethyl-8-ribityllumazine synthase [ribH].	MF	28361	61.387
YGL234W	56488	57802	Name=Phosphoribosylamine--glycine ligase [purD].	MF	23885	18.177
YML106W	56776	57451	Name=Orotate phosphoribosyltransferase [pyrE].	MF	19044	28.213
YGL234W	57832	58888	Name=Phosphoribosylformylglycinamidine cyclo-ligase [purM].	MF	21083	19.965
YAL044C	57961	58336	Name=Glycine cleavage system H protein [gcvH].	MF	20195	53.853
YML105C	58102	58387	Name=Signal recognition particle 19 kDa protein [srp19].	MF	18444	64.716
YNL306W	58332	58806	Name=30S ribosomal protein S11 [rpsK].	MF	14544	30.684
YOL140W	58828	60022	Name=Acetylornithine/succinyldiaminopimelate aminotransferase [argD].	MF	15736	13.179
YBL087C	60328	60691	Name=50S ribosomal protein L14 [rplN].	MF	3360	9.256
YDL219W	65245	65686	Name=D-aminoacyl-tRNA deacylase [dtd].	MF	9436	21.397
YCL030C	65966	67256	Name=Histidinol dehydrogenase [hisD].	MF	24195	18.756
YBL080C	73081	74617	Name=Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B [gatB].	MF	33734	21.962
YJL191W	73808	74192	Name=30S ribosomal protein S11 [rpsK].	MF	17486	45.536
YJL190C	74912	75296	Name=30S ribosomal protein S8 [rpsH].	MF	9423	24.539
YHL015W	75469	75766	Name=30S ribosomal protein S10 [rpsJ].	MF	5855	19.714
YJL189W	75936	76086	Name=50S ribosomal protein L39e [rpl39e].	MF	1290	8.6
YEL041W	76265	77210	Name=NAD kinase [nadK].	MF	17523	18.543
YIL145C	76356	77277	Name=Pantothenate synthetase [panC].	MF	15570	16.906
YKL192C	80171	80393	Name=Acyl carrier protein [acpP].	MF	3517	15.842
YEL038W	80480	81143	Name=Enolase-phosphatase E1 [ENOPH1].	MF	11884	17.925
YOL127W	80534	80774	Name=50S ribosomal protein L23 [rplW].	MF	10455	43.562
YBL076C	81048	84255	Name=Isoleucine--tRNA ligase [ileS].	MF	60468	18.855
YNL292W	82809	84009	Name=tRNA pseudouridine synthase B [truB].	MF	29450	24.542
YGL219C	82922	84254	Name=Mitochondrial distribution and morphology protein 34 [MDM34].	MF	26818	20.134
YOL122C	89715	91242	Name=Divalent metal cation transporter MntH [mntH].	MF	36187	23.698
YGL211W	92572	93535	Name=Cytoplasmic tRNA 2-thiolation protein 1 [CTU1].	MF	22276	23.132
YCL017C	92806	93982	Name=Cysteine desulfurase IscS [iscS].	MF	25022	21.277
YEL030W	94722	96555	Name=Chaperone protein DnaK [dnaK].	MF	57034	31.115
YPL240C	96606	98622	Name=Chaperone protein HtpG [htpG].	MF	48228	23.923
YIL133C	98999	99398	Name=50S ribosomal protein L13 [rplM].	MF	10547	26.434
YDL201W	99702	100401	Name=tRNA (guanine-N(7)-)-methyltransferase [METTL1].	MF	13705	19.607
YHL004W	99762	100362	Name=30S ribosomal protein S2 [rpsB].	MF	12049	20.082
YNL284C	103463	103919	Name=50S ribosomal protein L15 [rplO].	MF	9239	20.261
YFL016C	104712	106062	Name=Chaperone protein DnaJ [dnaJ].	MF	24556	18.19
YLL018C	109904	111302	Name=Aspartate--tRNA(Asp) ligase [aspS].	MF	22926	16.399
YPL231W	113953	114310	Name=Holo-[acyl-carrier-protein] synthase [acpS].	MF	5593	15.667
YNL277W	117412	118696	Name=Homoserine O-acetyltransferase [metXA].	MF	25795	20.09
YDL191W	117676	117847	Name=50S ribosomal protein L29 [rpmC].	MF	22185	129.737
