Gene	start	end	description	database_name
YBL112C	2725	2893	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540
YBL111C	3050	3875	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540
YBL106C	11914	13144	Name=WD40 repeat-like	SSF50978
YBL106C	13045	13825	Name=WD40 repeat-like	SSF50978
YBL105C	14282	15233	Name=Protein kinase-like (PK-like)	SSF56112
YBL105C	16091	16277	Name=Cysteine-rich domain	SSF57889
YBL105C	16307	16478	Name=Cysteine-rich domain	SSF57889
YBL105C	16550	17081	Name=C2 domain (Calcium/lipid-binding domain, CaLB)	SSF49562
YBL105C	17138	17357	Name=HR1 repeat	SSF46585
YBL104C	20111	21164	Name=WD40 repeat-like	SSF50978
YBL103C	22441	22678	Name=HLH, helix-loop-helix DNA-binding domain	SSF47459
YBL099W	37194	37446	Name=N-terminal domain of alpha and beta subunits of F1 ATP synthase	SSF50615
YBL099W	37452	38298	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540
YBL099W	38307	38688	Name=C-terminal domain of alpha and beta subunits of F1 ATP synthase	SSF47917
YBL098W	39157	40333	Name=FAD/NAD(P)-binding domain	SSF51905
YBL095W	43304	43922	Name=Thioesterase/thiol ester dehydrase-isomerase	SSF54637
YBL092W	45990	46359	Name=Ribosomal protein L32e	SSF52042
YBL091C-A	46784	47174	Name=PapD-like	SSF49354
YBL091C	47368	48463	Name=Creatinase/aminopeptidase	SSF55920
YBL091C	47458	47668	Name=Winged helix DNA-binding domain	SSF46785
YBL088C	51252	52296	Name=Protein kinase-like (PK-like)	SSF56112
YBL087C	60328	60718	Name=Ribosomal protein L14	SSF50193
YBL085W	63921	64101	Name=SH3-domain	SSF50044
YBL085W	64545	64755	Name=SAM/Pointed domain	SSF47769
YBL085W	66198	66561	Name=PH domain-like	SSF50729
YBL084C	67216	67834	Name=TPR-like	SSF48452
YBL084C	67702	68143	Name=HCP-like	SSF81901
YBL080C	73357	73717	Name=GatB/YqeY motif	SSF89095
