Gene	start	end	description	database_name	transposons	transposons_normalized
YBL108C-A	7661	7679	Name=Stress-induced proteins SRP1/TIP1 family signature.	PS00724	0	0
YBL106C	12385	12508	Name=Trp-Asp (WD) repeats profile.	PS50082	68	0.553
YBL106C	13057	13144	Name=Trp-Asp (WD) repeats profile.	PS50082	14	0.161
YBL105C	14243	14444	Name=AGC-kinase C-terminal domain profile.	PS51285	10	0.05
YBL105C	14447	15224	Name=Protein kinase domain profile.	PS50011	13	0.017
YBL105C	14825	14861	Name=Serine/Threonine protein kinases active-site signature.	PS00108	13	0.361
YBL105C	15137	15206	Name=Protein kinases ATP-binding region signature.	PS00107	2	0.029
YBL105C	16103	16253	Name=Zinc finger phorbol-ester/DAG-type profile.	PS50081	2	0.013
YBL105C	16103	16250	Name=Zinc finger phorbol-ester/DAG-type signature.	PS00479	2	0.014
YBL105C	16313	16454	Name=Zinc finger phorbol-ester/DAG-type profile.	PS50081	2	0.014
YBL105C	16313	16451	Name=Zinc finger phorbol-ester/DAG-type signature.	PS00479	2	0.014
YBL105C	16769	17126	Name=C2 domain profile.	PS50004	4	0.011
YBL105C	17147	17378	Name=REM-1 domain profile.	PS51860	3	0.013
YBL105C	17495	17693	Name=REM-1 domain profile.	PS51860	5	0.025
YBL103C	22504	22681	Name=Myc-type, basic helix-loop-helix (bHLH) domain profile.	PS50888	12	0.068
YBL099W	38253	38280	Name=ATP synthase alpha and beta subunits signature.	PS00152	0	0
YBL092W	46029	46089	Name=Ribosomal protein L32e signature.	PS00580	1	0.017
YBL091C-A	46805	47177	Name=Major sperm protein (MSP) domain profile.	PS50202	249	0.669
YBL091C	48013	48061	Name=Methionine aminopeptidase subfamily 2 signature.	PS01202	15	0.312
YBL088C	51021	52002	Name=Phosphatidylinositol 3- and 4-kinases family profile.	PS50290	816	0.832
YBL088C	51021	51117	Name=FATC domain profile.	PS51190	816	8.5
YBL088C	51531	51591	Name=Phosphatidylinositol 3- and 4-kinases signature 2.	PS00916	396	6.6
YBL088C	51945	51990	Name=Phosphatidylinositol 3- and 4-kinases signature 1.	PS00915	55	1.222
YBL088C	52404	54180	Name=FAT domain profile.	PS51189	634	0.357
YBL087C	60433	60511	Name=Ribosomal protein L14 signature.	PS00049	59	0.756
YBL086C	62005	62590	Name=C2 NT-type domain profile.	PS51840	3	0.005
YBL085W	63915	64107	Name=Src homology 3 (SH3) domain profile.	PS50002	35	0.182
YBL085W	64560	64752	Name=SAM domain profile.	PS50105	0	0
YBL085W	66204	66561	Name=PH domain profile.	PS50003	1297	3.633
YBL084C	67216	67315	Name=TPR repeat profile.	PS50005	5	0.051
YBL084C	67318	67417	Name=TPR repeat profile.	PS50005	5	0.051
YBL084C	67522	67621	Name=TPR repeat profile.	PS50005	2	0.02
YBL084C	67528	67621	Name=TPR repeat region circular profile.	PS50293	2	0.022
YBL084C	67624	67723	Name=TPR repeat profile.	PS50005	3	0.03
YBL084C	67726	67825	Name=TPR repeat profile.	PS50005	5	0.051
YBL084C	67930	68029	Name=TPR repeat profile.	PS50005	2	0.02
YBL080C	74122	74164	Name=Glutamyl-tRNA(Gln) amidotransferase subunit B signature.	PS01234	2	0.048
YBL076C	84087	84120	Name=Aminoacyl-transfer RNA synthetases class-I signature.	PS00178	0	0
YBL075C	85410	85452	Name=Heat shock hsp70 proteins family signature 3.	PS01036	7	0.167
YBL075C	85824	85863	Name=Heat shock hsp70 proteins family signature 2.	PS00329	14	0.359
YBL075C	86406	86427	Name=Heat shock hsp70 proteins family signature 1.	PS00297	36	1.714
YBL072C	89035	89092	Name=Ribosomal protein S8e signature.	PS01193	0	0
YBL071W-A	89987	90155	Name=DPH-type metal-binding (MB) domain profile.	PS51074	6	0.036
YBL068W	92834	92879	Name=Phosphoribosyl pyrophosphate synthase signature.	PS00114	2	0.044
YBL067C	93878	95462	Name=Ubiquitin specific protease (USP) domain profile.	PS50235	358	0.226
YBL067C	94022	94076	Name=Ubiquitin specific protease (USP) domain signature 2.	PS00973	329	6.093
YBL067C	95414	95459	Name=Ubiquitin specific protease (USP) domain signature 1.	PS00972	3	0.067
YBL066C	99848	99947	Name=Zn(2)-C6 fungal-type DNA-binding domain profile.	PS50048	26	0.263
YBL066C	99854	99947	Name=Zn(2)-C6 fungal-type DNA-binding domain signature.	PS00463	26	0.28
YBL064C	100520	101009	Name=Thioredoxin domain profile.	PS51352	259	0.53
YBL063W	102042	103116	Name=Kinesin motor domain profile.	PS50067	521	0.485
YBL063W	102816	102849	Name=Kinesin motor domain signature.	PS00411	242	7.333
YBL060W	108178	108724	Name=SEC7 domain profile.	PS50190	229	0.419
YBL059C-A	110377	110509	Name=Coiled coil-helix-coiled coil-helix (CHCH) domain profile.	PS51808	29	0.22
YBL058W	112133	112328	Name=SEP domain profile.	PS51399	12	0.062
YBL058W	112469	112700	Name=UBX domain profile.	PS50033	523	2.264
YBL056W	113831	114641	Name=PPM-type phosphatase domain profile.	PS51746	1132	1.398
YBL056W	113933	113957	Name=PPM-type phosphatase domain signature.	PS01032	1115	46.458
YBL055C	115842	115890	Name=TatD deoxyribonuclease family signature 3.	PS01091	17	0.354
YBL055C	116133	116163	Name=TatD deoxyribonuclease family signature 2.	PS01090	30	1.0
YBL054W	117799	117949	Name=Myb-like domain profile.	PS50090	105	0.7
YBL054W	117880	117961	Name=Myb-type HTH DNA-binding domain profile.	PS51294	64	0.79
YBL052C	120155	121073	Name=MYST-type histone acetyltransferase (HAT) domain profile.	PS51726	157	0.171
YBL051C	124270	124504	Name=Eukaryotic RNA Recognition Motif (RRM) profile.	PS50102	12	0.051
YBL049W	126951	127242	Name=Yippee domain profile.	PS51792	126	0.433
YBL047C	127900	128026	Name=Ubiquitin-associated domain (UBA) profile.	PS50030	189	1.5
YBL047C	130942	131209	Name=EH domain profile.	PS50031	113	0.423
YBL047C	131359	131635	Name=EH domain profile.	PS50031	47	0.17
YBL047C	131434	131539	Name=EF-hand calcium-binding domain profile.	PS50222	28	0.267
YBL047C	131464	131500	Name=EF-hand calcium-binding domain.	PS00018	26	0.722
YBL047C	131701	131998	Name=EH domain profile.	PS50031	158	0.532
YBL047C	131794	131899	Name=EF-hand calcium-binding domain profile.	PS50222	134	1.276
YBL041W	141331	141925	Name=Proteasome beta-type subunit profile.	PS51476	12	0.02
YBL041W	141343	141484	Name=Proteasome beta-type subunits signature.	PS00854	11	0.078
YBL040C	142445	142472	Name=ER lumen protein retaining receptor signature 2.	PS00952	0	0
YBL040C	142724	142775	Name=ER lumen protein retaining receptor signature 1.	PS00951	1	0.02
YBL039C	144051	144813	Name=Glutamine amidotransferase type 1 domain profile.	PS51273	431	0.566
YBL038W	146568	146601	Name=Ribosomal protein L16 signature 2.	PS00701	13	0.394
YBL036C	150914	150956	Name=Uncharacterized protein family UPF0001 signature.	PS01211	71	1.69
YBL032W	160313	160505	Name=Type-1 KH domain profile.	PS50084	53	0.276
YBL032W	160652	160847	Name=Type-1 KH domain profile.	PS50084	61	0.313
YBL032W	160958	161162	Name=Type-1 KH domain profile.	PS50084	31	0.152
YBL030C	163064	163322	Name=Solute carrier (Solcar) repeat profile.	PS50920	46	0.178
YBL030C	163346	163622	Name=Solute carrier (Solcar) repeat profile.	PS50920	44	0.159
YBL030C	163655	163934	Name=Solute carrier (Solcar) repeat profile.	PS50920	37	0.133
YBL027W	168444	168501	Name=Ribosomal protein L19e signature.	PS00526	3	0.053
YBL024W	172699	173767	Name=SAM-dependent MTase RsmB/NOP-type domain profile.	PS51686	557	0.522
YBL024W	173287	173320	Name=NOL1/NOP2/sun family signature.	PS01153	160	4.848
YBL023C	175429	176047	Name=MCM family domain profile.	PS50051	29	0.047
YBL023C	175696	175720	Name=MCM family signature.	PS00847	13	0.542
YBL022C	177948	178506	Name=Lon proteolytic domain profile.	PS51786	166	0.297
YBL022C	178215	178239	Name=ATP-dependent serine proteases, lon family, serine active site.	PS01046	108	4.5
YBL022C	179841	180729	Name=Lon N-terminal domain profile.	PS51787	46	0.052
YBL021C	181830	181878	Name=NF-YB/HAP3 subunit signature.	PS00685	3	0.062
YBL019W	184404	185442	Name=AP endonucleases family 1 profile.	PS51435	1140	1.098
YBL019W	185319	185352	Name=AP endonucleases family 1 signature 3.	PS00728	48	1.455
YBL016W	192490	193378	Name=Protein kinase domain profile.	PS50011	1475	1.661
YBL016W	192508	192580	Name=Protein kinases ATP-binding region signature.	PS00107	1461	20.292
YBL016W	192592	192898	Name=MAP kinase signature.	PS01351	1403	4.585
YBL016W	192850	192886	Name=Serine/Threonine protein kinases active-site signature.	PS00108	1290	35.833
YBL008W	209692	209797	Name=Trp-Asp (WD) repeats circular profile.	PS50294	41	0.39
YBL008W	209878	209971	Name=Trp-Asp (WD) repeats circular profile.	PS50294	24	0.258
YBL008W	209878	210001	Name=Trp-Asp (WD) repeats profile.	PS50082	46	0.374
YBL008W	210052	210148	Name=Trp-Asp (WD) repeats circular profile.	PS50294	62	0.646
YBL008W	210052	210175	Name=Trp-Asp (WD) repeats profile.	PS50082	62	0.504
YBL008W	210178	210271	Name=Trp-Asp (WD) repeats profile.	PS50082	41	0.441
YBL007C	215121	215307	Name=Src homology 3 (SH3) domain profile.	PS50002	3	0.016
YBL007C	215970	216159	Name=Src homology 3 (SH3) domain profile.	PS50002	16	0.085
YBL007C	216162	216357	Name=Src homology 3 (SH3) domain profile.	PS50002	31	0.159
YBL005W	217512	217593	Name=Zn(2)-C6 fungal-type DNA-binding domain signature.	PS00463	2	0.025
YBL005W	217512	217599	Name=Zn(2)-C6 fungal-type DNA-binding domain profile.	PS50048	2	0.023
YBL003C	235705	235723	Name=Histone H2A signature.	PS00046	0	0
YBL002W	236780	236846	Name=Histone H2B signature.	PS00357	258	3.909
YBR001C	239300	239327	Name=Trehalase signature 2.	PS00928	41	1.519
YBR001C	240260	240299	Name=Trehalase signature 1.	PS00927	27	0.692
YBR002C	241908	241959	Name=Undecaprenyl pyrophosphate synthase family signature.	PS01066	0	0
YBR003W	243379	243421	Name=Polyprenyl synthases signature 1.	PS00723	16	0.381
YBR003W	243877	243913	Name=Polyprenyl synthases signature 2.	PS00444	27	0.75
YBR006W	247799	247820	Name=Aldehyde dehydrogenases glutamic acid active site.	PS00687	68	3.238
YBR008C	252583	253894	Name=Major facilitator superfamily (MFS) profile.	PS50850	4010	3.059
YBR009C	255627	255639	Name=Histone H4 signature.	PS00047	0	0
YBR010W	256376	256394	Name=Histone H3 signature 1.	PS00322	12	0.667
YBR010W	256532	256556	Name=Histone H3 signature 2.	PS00959	15	0.625
YBR011C	257609	257627	Name=Inorganic pyrophosphatase signature.	PS00387	6	0.333
YBR013C	265818	265878	Name=Prokaryotic membrane lipoprotein lipid attachment site profile.	PS51257	211	3.517
YBR014C	266763	267072	Name=Glutaredoxin domain profile.	PS51354	297	0.961
YBR018C	274975	275026	Name=Galactose-1-phosphate uridyl transferase family 1 active site signature.	PS00117	33	0.647
YBR019C	276726	276753	Name=Aldose 1-epimerase putative active site.	PS00545	163	6.037
YBR020W	279177	279210	Name=Galactokinase signature.	PS00106	9	0.273
YBR020W	279507	279540	Name=GHMP kinases putative ATP-binding domain.	PS00627	19	0.576
YBR022W	283741	284269	Name=Macro domain profile.	PS51154	1220	2.311
YBR024W	289748	290297	Name=Thioredoxin domain profile.	PS51352	542	0.987
YBR025C	290698	290947	Name=TGS domain profile.	PS51880	145	0.582
YBR025C	291010	291802	Name=OBG-type guanine nucleotide-binding (G) domain profile.	PS51710	580	0.732
YBR028C	294430	294667	Name=AGC-kinase C-terminal domain profile.	PS51285	197	0.831
YBR028C	294730	295618	Name=Protein kinase domain profile.	PS50011	571	0.643
