Gene	start	end	description	database_name	transposons	transposons_normalized
YKL224C	1866	1884	Name=Stress-induced proteins SRP1/TIP1 family signature.	PS00724	0	0
YKL222C	4543	4609	Name=Leucine-rich repeat profile.	PS51450	3	0.045
YKL222C	5458	5551	Name=Zn(2)-C6 fungal-type DNA-binding domain profile.	PS50048	32	0.344
YKL222C	5464	5551	Name=Zn(2)-C6 fungal-type DNA-binding domain signature.	PS00463	14	0.161
YKL220C	9624	9981	Name=Ferredoxin reductase-type FAD binding domain profile.	PS51384	333	0.933
YKL218C	18168	18207	Name=Serine/threonine dehydratases pyridoxal-phosphate attachment site.	PS00165	42	1.077
YKL217W	22657	23911	Name=Major facilitator superfamily (MFS) profile.	PS50850	1740	1.388
YKL216W	25338	25395	Name=Dihydroorotate dehydrogenase signature 1.	PS00911	11	0.193
YKL216W	25959	26019	Name=Dihydroorotate dehydrogenase signature 2.	PS00912	23	0.383
YKL214C	31279	31501	Name=Eukaryotic RNA Recognition Motif (RRM) profile.	PS50102	71	0.32
YKL213C	31962	32712	Name=PUL domain profile.	PS51396	35	0.047
YKL213C	32760	33051	Name=PFU domain profile.	PS51394	33	0.113
YKL213C	33339	33459	Name=Trp-Asp (WD) repeats profile.	PS50082	2	0.017
YKL213C	33366	33459	Name=Trp-Asp (WD) repeats circular profile.	PS50294	2	0.022
YKL213C	33609	33708	Name=Trp-Asp (WD) repeats profile.	PS50082	3	0.03
YKL213C	33732	33822	Name=Trp-Asp (WD) repeats circular profile.	PS50294	4	0.044
YKL213C	33987	34080	Name=Trp-Asp (WD) repeats circular profile.	PS50294	37	0.398
YKL212W	34888	35905	Name=Sac phosphatase domain profile.	PS50275	18	0.018
YKL211C	37295	37343	Name=Indole-3-glycerol phosphate synthase signature.	PS00614	20	0.417
YKL211C	37532	38114	Name=Glutamine amidotransferase type 1 domain profile.	PS51273	564	0.969
YKL210W	40291	40315	Name=Ubiquitin-activating enzyme signature 1.	PS00536	0	0
YKL210W	40957	40981	Name=Ubiquitin-activating enzyme active site.	PS00865	0	0
YKL209C	42434	43139	Name=ATP-binding cassette, ABC transporter-type domain profile.	PS50893	632	0.896
YKL209C	42683	42725	Name=ABC transporters family signature.	PS00211	383	9.119
YKL209C	43274	44141	Name=ABC transporter integral membrane type-1 fused domain profile.	PS50929	242	0.279
YKL209C	44486	45224	Name=ATP-binding cassette, ABC transporter-type domain profile.	PS50893	498	0.675
YKL209C	44735	44777	Name=ABC transporters family signature.	PS00211	365	8.69
