Gene	start	end	description	database_name	transposons	transposons_normalized
YML133C	2551	2860	Name=Helicase conserved C-terminal domain	PF00271	273	0.883
YML133C	3067	3544	Name=DEAD/DEAH box helicase	PF00270	1216	2.549
YML133C	4420	4654	Name=Sir1, ORC-binding domain	PF11603	134	0.573
YML132W	7451	7745	Name=DUP family	PF00674	95	0.323
YML132W	8012	8297	Name=DUP family	PF00674	119	0.418
YML131W	10285	10561	Name=N-terminal domain of oxidoreductase	PF16884	103	0.373
YML131W	10729	11134	Name=Zinc-binding dehydrogenase	PF00107	152	0.375
YML130C	11935	12976	Name=Endoplasmic Reticulum Oxidoreductin 1 (ERO1)	PF04137	41	0.039
YML129C	14585	14747	Name=Cytochrome oxidase c assembly	PF14880	47	0.29
YML128C	15230	15335	Name=Putative nuclear envelope organisation protein	PF10281	64	0.61
YML128C	15848	15959	Name=Putative nuclear envelope organisation protein	PF10281	14	0.126
YML128C	16073	16181	Name=Putative nuclear envelope organisation protein	PF10281	52	0.481
YML128C	16241	16349	Name=Putative nuclear envelope organisation protein	PF10281	132	1.222
YML126C	19065	19884	Name=Hydroxymethylglutaryl-coenzyme A synthase C terminal	PF08540	12	0.015
YML126C	19887	20400	Name=Hydroxymethylglutaryl-coenzyme A synthase N terminal	PF01154	17	0.033
YML125C	20844	21150	Name=Oxidoreductase NAD-binding domain	PF00175	9	0.029
YML125C	21183	21474	Name=Oxidoreductase FAD-binding domain	PF00970	9	0.031
YML124C	22504	22891	Name=Tubulin C-terminal domain	PF03953	181	0.468
YML124C	23038	23674	Name=Tubulin/FtsZ family, GTPase domain	PF00091	351	0.552
YML123C	24129	25587	Name=Sugar (and other) transporter	PF00083	1558	1.069
YML121W	26954	27680	Name=Gtr1/RagA G protein conserved region	PF04670	350	0.482
YML120C	28607	29642	Name=Pyridine nucleotide-disulphide oxidoreductase	PF07992	683	0.66
YML118W	32670	33642	Name=Endonuclease/Exonuclease/phosphatase family	PF03372	1314	1.352
YML117W	34423	34555	Name=Putative RRM domain	PF10378	123	0.932
YML117W	34840	35923	Name=RNA-recognition motif	PF10567	207	0.191
YML116W	38424	39624	Name=Major Facilitator Superfamily	PF07690	823	0.686
YML115C	40354	41281	Name=Anp1	PF03452	29	0.031
YML114C	42909	43050	Name=Transcription factor TFIID complex subunit 8 C-term	PF10406	11	0.078
YML112W	45741	45930	Name=CTD kinase subunit gamma CTK3 C-terminus	PF12350	6	0.032
YML111W	47206	48514	Name=Bul1 N terminus	PF04425	619	0.473
YML111W	48880	49696	Name=Bul1 C terminus	PF04426	479	0.587
YML110C	50036	50777	Name=ubiE/COQ5 methyltransferase family	PF01209	269	0.363
YML109W	54202	54352	Name=Activator of mitotic machinery Cdc14 phosphatase activation C-term	PF08632	80	0.533
