Gene	start	end	description	database_name	transposons	transposons_normalized
YCL076W	1425	1854	Name=Ty5 Gag N-terminal region	PF17241	54	0.126
YCL073C	6856	8116	Name=Major Facilitator Superfamily	PF07690	631	0.501
YCL069W	9715	10279	Name=Major Facilitator Superfamily	PF07690	96	0.17
YCL067C	12454	12613	Name=Homeodomain	PF00046	1	0.006
YCL066W	13528	13711	Name=Mating-type protein MAT alpha 1 HMG-box	PF04769	335	1.831
YCL064C	15929	16868	Name=Pyridoxal-phosphate dependent enzyme	PF00291	311	0.331
YCL063W	17308	18553	Name=Vacuole-related protein 17	PF17321	408	0.328
YCL061C	19556	19973	Name=MRC1-like domain	PF09444	104	0.249
YCL059C	23022	23262	Name=Krr1 KH1 domain	PF17903	3	0.013
YCL057C-A	24064	24271	Name=Domain of unknown function (DUF543)	PF04418	593	2.865
YCL057W	25518	26895	Name=Peptidase family M3	PF01432	850	0.617
YCL055W	28337	28796	Name=MT-A70	PF05063	131	0.285
YCL054W	31524	32055	Name=FtsJ-like methyltransferase	PF01728	24	0.045
YCL054W	32157	32601	Name=Domain of unknown function (DUF3381)	PF11861	16	0.036
YCL054W	33294	33954	Name=Spb1 C-terminal domain	PF07780	223	0.338
YCL052C	34184	34715	Name=PIG-X / PBN1	PF08320	13	0.024
YCL050C	37874	38216	Name=ATP adenylyltransferase C-terminal domain	PF09830	181	0.529
YCL050C	38306	38780	Name=Ap4A phosphorylase N-terminal domain	PF19327	473	0.998
YCL047C	43753	44338	Name=Cytidylyltransferase-like	PF01467	960	1.641
YCL045C	44634	45288	Name=ER membrane protein complex subunit 1, C-terminal	PF07774	270	0.413
YCL044C	47203	47938	Name=Mgr1-like, i-AAA protease complex subunit	PF08602	1130	1.537
YCL044C	47962	48361	Name=Mgr1-like, i-AAA protease complex subunit	PF08602	519	1.301
YCL043C	48775	49087	Name=Thioredoxin	PF00085	7	0.022
YCL043C	49237	49699	Name=Thioredoxin-like domain	PF13848	15	0.032
YCL043C	49813	50119	Name=Thioredoxin	PF00085	20	0.065
YCL040W	50892	51522	Name=Hexokinase	PF00349	2355	3.738
YCL040W	51576	52335	Name=Hexokinase	PF03727	3627	4.779
YCL039W	54625	54706	Name=WD domain, G-beta repeat	PF00400	82	1.012
YCL039W	54718	54868	Name=WD domain, G-beta repeat	PF00400	177	1.18
YCL038C	54985	56461	Name=Vacuole effluxer Atg22 like	PF11700	1034	0.701
YCL037C	57709	57883	Name=La domain	PF05383	51	0.293
YCL035C	60918	61116	Name=Glutaredoxin	PF00462	327	1.652
YCL033C	62784	63156	Name=SelR domain	PF01641	522	1.403
YCL032W	63531	63753	Name=Ste50p, sterile alpha motif	PF09235	630	2.838
YCL032W	64179	64419	Name=Ras association (RalGDS/AF-6) domain	PF00788	505	2.104
YCL031C	64680	65037	Name=Ribosomal RNA-processing protein 7 (RRP7) C-terminal domain	PF12923	30	0.084
YCL031C	65076	65541	Name=Rrp7 RRM-like N-terminal domain	PF17799	12	0.026
YCL030C	65969	67208	Name=Histidinol dehydrogenase	PF00815	2308	1.863
YCL030C	67352	67589	Name=Phosphoribosyl-ATP pyrophosphohydrolase	PF01503	556	2.346
YCL030C	67619	67835	Name=Phosphoribosyl-AMP cyclohydrolase	PF01502	420	1.944
YCL029C	69702	69885	Name=CAP-Gly domain	PF01302	924	5.049
YCL027W	73132	73255	Name=SH3 domain	PF00018	63	0.512
YCL026C-B	73527	73950	Name=Nitroreductase family	PF00881	493	1.165
YCL026C-A	74826	75252	Name=Nitroreductase family	PF00881	724	1.7
YCL025C	76152	77547	Name=Amino acid permease	PF00324	2617	1.876
YCL024W	79231	80014	Name=Protein kinase domain	PF00069	895	1.143
YCL024W	81925	82270	Name=Fungal kinase associated-1 domain	PF16797	225	0.652
YCL018W	91342	92389	Name=Isocitrate/isopropylmalate dehydrogenase	PF00180	1782	1.702
YCL017C	92884	93970	Name=Aminotransferase class-V	PF00266	30	0.028
YCL016C	94719	95718	Name=Sister chromatid cohesion protein Dcc1	PF09724	443	0.443
YCL014W	96365	96896	Name=Domain of unknown function (DUF3507)	PF12015	371	0.699
YCL012C	101407	101749	Name=Fungal protein of unknown function (DUF2015)	PF09435	205	0.599
YCL011C	102101	102305	Name=RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	PF00076	263	1.289
YCL011C	102491	102695	Name=RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	PF00076	98	0.48
